ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R13OKL104,2200,048TVOK056,AOK048TV1029A,22-04-03 01:01,22-04-02 14:25,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R13OKL407,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 01:01,2200
BB212,UTC3000,RUNNING,R14CDB101,2200,096EFCD001,ACD096EF2001B,22-04-04 02:17,22-04-03 07:15,ETRON,FBGA-96UEF,5000,,1091A07T41,,R09NVJW06,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,262.6932,22-04-04 02:17,2200
BB213,UTC3000,RUNNING,R13MSIE04,2200,078ENMS009,AMS078EN1001A,22-04-03 02:50,22-04-02 12:46,MTI,FBGA-78UEN,3580,04/03/2022 SP,1091A06T21,,R13MSI205,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-03 02:50,2200
BB214,UTC3000,RUNNING,R14CDAH01,2200,096EFCD001,ACD096EF2001B,22-04-03 22:12,22-04-03 03:23,ETRON,FBGA-96UEF,4942,04/04/2022 SP,,,R12NVMC01,STBGA345SBC,PHISON,ANV345XTB023B,1091A07C41,262.6932,22-04-03 22:12,2200
BB215,UTC3000,RUNNING,R14LWCC01,2200,078U9LW012,ALW078C93001A,22-04-04 00:20,22-04-03 03:49,MTI-S,FBGA-78U9,6654,04/05/2022 SP,,,R14LWCD01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-04 00:20,2200
BB216,UTC3000,RUNNING,R13MSI706,2200,078ENMS009,AMS078EN1001A,22-04-03 12:02,22-04-02 21:58,MTI,FBGA-78UEN,3580,04/06/2022 SP,1091A06T21,,R13MSIF06,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-03 12:02,2200
BB217,UTC3000,RUNNING,R13OKL109,2200,048TVOK056,AOK048TV1029A,22-04-03 17:06,22-04-03 06:29,LAPIS,TSOP1-48A2,2560,04/07/2022 SP,1091A07C41,,R13OKL311,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 17:06,2200
BB218,UTC3000,RUNNING,R14CDAY01,2200,096EFCD001,ACD096EF2001B,22-04-03 12:07,22-04-03 02:37,ETRON,FBGA-96UEF,2485,04/08/2022 SP,,,R13HQA202,FPSLGA26MJP,EMC,AHQ0262G1002A,1091A06C41,262.6932,22-04-03 12:07,2200
BB219,UTC3000,RUNNING,R13OKL414,2200,048TVOK056,AOK048TV1029A,22-04-03 12:43,22-04-03 02:06,LAPIS,TSOP1-48A2,2560,04/09/2022 SP,1091A07C41,,R13OKL412,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 12:43,2200
BB220,UTC3000,RUNNING,R13OKL314,2200,048TVOK056,AOK048TV1029A,22-04-03 13:46,22-04-03 03:09,LAPIS,TSOP1-48A2,2560,04/10/2022 SP,1091A07C41,,R13OKL309,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 13:46,2200
BB221,UTC3000,RUNNING,R13OKL313,2200,048TVOK056,AOK048TV1029A,22-04-03 16:22,22-04-03 05:45,LAPIS,TSOP1-48A2,2560,04/11/2022 MP,1091A07C41,,R13OKL310,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 16:22,2200
BB222,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-03 07:51,,,,04/12/2022 MP,,,R13OKL413,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
BB223,UTC3000,RUNNING,R14MSBL04,2200,078ENMS009,AMS078EN1001A,22-04-03 15:50,22-04-03 01:47,MTI,FBGA-78UEN,3580,04/13/2022 MP,1091A06T21,,R13MSIE07,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-03 15:50,2200
BB224,UTC3000,RUNNING,R14CDAI01,2200,084UCCD006,ACD084CC2002A,22-04-03 17:42,22-04-03 01:31,ETRON,FBGA-84UC(2),5599,04/14/2022 MP,,,R12AWB617,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,346.243,22-04-03 17:42,2200
BB225,UTC3000,IDLE,,,,ALW078C93001A,,22-04-03 02:48,,,,04/15/2022 MP,,,R13LWAG02,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,,2200
BB226,UTC3000,IDLE,,,,ANV132X2C086A,,22-04-03 02:25,,,,04/16/2022 MP,,,R12NVMV01,STBGA132G4VT,PHISON,ANV132X2C086A,1091A06C41,215.9892,,2200
BB227,UTC3000,RUNNING,R14CDAV02,2200,096EFCD001,ACD096EF2001B,22-04-03 18:03,22-04-03 07:15,ETRON,FBGA-96UEF,2826,04/17/2022 MP,1091A07T41,,R09NVJW11,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,262.6932,22-04-03 18:03,2200
BB228,UTC3000,RUNNING,R14CDAK01,2200,084UCCD006,ACD084CC2002A,22-04-03 16:24,22-04-03 00:14,ETRON,FBGA-84UC(2),5600,04/18/2022 MP,1091A07T41,,R12AWB622,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,346.243,22-04-03 16:24,2200
BB229,UTC3000,RUNNING,R80CML601,3600,024XJCM055ENG,AAW024XJ4004A,,22-04-03 07:12,ENG,STBGA24D4U,3079,04/19/2022 MP,1091A07T41,,R80CML601,STBGA24D4U,ENG,AAW024XJ4004A,1091A07T41,562.3146,,3600
BB230,UTC3000,RUNNING,R14CDAI02,2200,084UCCD006,ACD084CC2002A,22-04-03 18:39,22-04-03 02:28,ETRON,FBGA-84UC(2),5599,04/20/2022 MP,,,R12AWB619,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,346.243,22-04-03 18:39,2200
BB231,UTC3000,IN-REPAIR,R09NVJW09,3400,345XTNV080,ANV345XTG002A,22-04-03 04:07:05,22-04-03 07:49,PHISON,STBGA345NBC,700,04/21/2022 MP,1091A07C41,4P,R09NVJW10,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-04-03 04:07,3400
BB232,UTC3000,RUNNING,R13OKL106,2200,048TVOK056,AOK048TV1029A,22-04-03 05:43,22-04-02 19:06,LAPIS,TSOP1-48A2,2560,04/22/2022 MP,1091A07C41,,R13OKL408,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 05:43,2200
BB233,UTC3000,RUNNING,R13OKL107,2200,048TVOK056,AOK048TV1029A,22-04-03 11:53,22-04-03 01:16,LAPIS,TSOP1-48A2,2560,04/23/2022 MP,1091A07C41,,R13OKL411,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 11:53,2200
BB234,UTC3000,RUNNING,R13OKL105,2200,048TVOK056,AOK048TV1029A,22-04-03 05:50,22-04-02 19:14,LAPIS,TSOP1-48A2,2560,04/24/2022 MP,1091A07C41,,R13OKL102,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 05:50,2200
BB235,UTC3000,RUNNING,R13OKL312,2200,048TVOK056,AOK048TV1029A,22-04-03 08:35,22-04-02 21:58,LAPIS,TSOP1-48A2,2560,04/25/2022 MP,1091A07C41,,R13OKL308,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-03 08:35,2200
BB441,UTC1000S,RUNNING,R14ABC705,2200,096ELAB047,AAB096EL1017A,22-04-03 19:50,22-04-03 06:01,WINBOND,FBGA96UEL(2),2980,04/26/2022 MP,1091A07T21,,R14ABC701,FBGA96UEL(2),WINBOND,AAB096EL1017A,1091A07T21,215.8662,22-04-03 19:50,2200
