bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	IA000041  ,	 A,	2017/11/2 上午 12:00:00,	1,	3720,	1011CA243A               ,	0.016,	0.800,	,	          ,	8mm pitch/ 500m                         ,
	IA000026  ,	 B,	2017/8/31 上午 12:00:00,	1,	2021,	1071F28502               ,	0.059,	14.000,	,	          ,	                                        ,
	IA000026  ,	 B,	2017/8/31 上午 12:00:00,	2,	3720,	1011CA234A               ,	0.013,	0.800,	,	          ,	20170828002 美霖改CARRIER TAPE          ,
	IA000060  ,	 A,	2018/5/9 上午 12:00:00,	1,	3720,	1011CA265A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000097  ,	 B,	2019/12/10 上午 12:00:00,	1,	3720,	1011CA308A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000031  ,	 C,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA232B               ,	0.008,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	1,	2070,	120100167A               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	2,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA296A               ,	0.014,	0.800,	,	          ,	20190408004變更Carrier                  ,
	OL014602  ,	 C,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	1,	2070,	1071F76004               ,	0.000,	14.000,	,	          ,	                                        ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A            ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	改版                                    ,
	YU020603  ,	 A,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	1,	2070,	120100158A               ,	0.000,	3.400,	0.203     ,	          ,	,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	,	          ,	                                        ,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	12        ,	          ,	,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	4,	2300,	1081G700L1               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y1012604  ,	 A,	2019/4/17 上午 12:00:00,	5,	3720,	1011CA104A               ,	0.014,	0.800,	,	          ,	,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	靜電金屬袋回貨                          ,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	2,	2070,	120100022A               ,	0.000,	3.400,	0.152     ,	          ,	1230BALLSN0000A                         ,
	OK008601  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA254A               ,	0.014,	0.800,	,	          ,	,
