ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R17ABD702,3200,162KEAB011,AAB162KE1006A,22-05-09 11:59,22-05-08 05:16,WINBOND,STBGA162B4U,3240,,1091A07T21,,R17ABD814,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-05-09 11:59,3200
BB212,UTC3000,RUNNING,R19AWAH40,2200,048TPAW103,AAW048TP1008B,22-05-09 07:38,22-05-08 21:03,MXIC,TSOP1-48/M2,720,,1091A08T41,,R19AWAF42,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-05-09 07:38,2200
BB213,UTC3000,RUNNING,R18ABBV07,2200,162KEAB004,AAB162KE1002A,22-05-09 11:38,22-05-08 21:04,WINBOND,STBGA162B4U,1590,,1091A07T21,,R18ABBV04,STBGA162B4U,WINBOND,AAB162KE1002A,1091A07T21,109.2198,22-05-09 11:38,2200
BB214,UTC3000,RUNNING,R19AWAK22,2200,048TPAW103,AAW048TP1008B,22-05-09 17:00,22-05-09 06:25,MXIC,TSOP1-48/M2,720,05/09/2022 MP,1091A08T41,,R19AWAH17,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-05-09 17:00,2200
BB215,UTC3000,RUNNING,R19MSEF02,2200,078ENMS009,AMS078EN1001A,22-05-09 19:34,22-05-09 05:26,MTI,FBGA-78UEN,3600,05/10/2022 MP,1091A06T21,,R19MSEH03,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-05-09 19:34,2200
BB216,UTC3000,WAIT-SETUP,,,,ANV132X2A021C,,22-05-09 07:21,,,,05/11/2022 MP,,,R18BUC704,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,,2200
BB217,UTC3000,IN-REPAIR,R19AWAK17,2200,048TPAW103,AAW048TP1008B,22-05-09 09:12:57,22-05-09 07:46,MXIC,TSOP1-48/M2,720,05/12/2022 MP,1091A08T41,,R19AWAF43,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-05-09 09:12,2200
BB218,UTC3000,IDLE,,,,ABU096EA1001A,,22-05-09 03:48,,,,05/13/2022 MP,,,R18BUC703,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,242.8889,,2200
BB219,UTC3000,RUNNING,R19MSDL07,2200,078ENMS009,AMS078EN1001A,22-05-09 13:34,22-05-08 23:39,MTI,FBGA-78UEN,3540,05/14/2022 MP,1091A06T21,,R19MSDL03,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-05-09 13:34,2200
BB220,UTC3000,RUNNING,R18OKA910,2200,048TVOK056,AOK048TV1029A,22-05-09 11:33,22-05-08 23:47,LAPIS,TSOP1-48A2,2560,05/15/2022 MP,1091A07C41,,R18OKA715,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,217.3206,22-05-09 11:33,2200
BB221,UTC3000,RUNNING,R19AWAB22,2200,048TPAW086,AAW048TP1041B,22-05-09 07:06,22-05-08 21:49,MXIC,TSOP1-48/M2,720,05/16/2022 SP,1091A08T41,,R18BUC705,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,77.5263,22-05-09 07:06,2200
BB222,UTC3000,RUNNING,R19AWAK18,2200,048TPAW103,AAW048TP1008B,22-05-09 15:56,22-05-09 05:21,MXIC,TSOP1-48/M2,720,05/17/2022 SP,1091A08T41,,R19AWAH43,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-05-09 15:56,2200
BB223,UTC3000,SETUP,R19AWAK10,2200,048TPAW103,AAW048TP1008B,22-05-09 08:20,22-05-09 07:50,MXIC,TSOP1-48/M2,720,05/18/2022 SP,1091A08T41,,R19AWAF37,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-05-09 14:26,2200
BB224,UTC3000,IDLE,,,,ABU096EA1001A,,22-05-09 05:09,,,,05/19/2022 SP,,,R18BUC701,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,242.8889,,2200
BB225,UTC3000,RUNNING,R18ABBH03,3200,162KEAB011,AAB162KE1006A,22-05-10 13:18,22-05-09 06:13,WINBOND,STBGA162B4U,3280,05/20/2022 SP,1091A07T21,,R18ABBJ01,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-05-10 13:18,3200
BB226,UTC3000,RUNNING,R18ABBZ08,2200,162KEAB004,AAB162KE1002A,22-05-09 07:20,22-05-08 16:51,WINBOND,STBGA162B4U,1580,05/21/2022 SP,1091A07T21,,R18ABBZ02,STBGA162B4U,WINBOND,AAB162KE1002A,1091A07T21,109.2198,22-05-09 07:20,2200
