product,process_id,bom_id
000IABW056,000IA116,IA000041
000IAVT001,000IA081,IA000026
0008WNV323,153XT098,8W000A01
000IABW072,000IA143,IA000060
000IABW112,000IA232,IA000112
020YUNI116,020YU002,YU020604
014OLNI032,014OL001,OL014602
020YUNI143,020YU002,YU020604
008YZNI044,008YZ006,YZ008604
020YUNI135,020YU001,YU020603
000IABW045,000IA089,IA000031
012Y1NI055,012Y1002,Y1012604
012Y3NI160,012Y3002,Y3012603
000IABW142,000IA317,IA000140
012Y3NI158,012Y3001,Y3012604
016OFNI041,016OF002,OF016603
020YUNI183,020YU002,YU020604
020YUNI181,020YU002,YU020604
012Y3NI167,012Y3001,Y3012604
020YUNI226,020YU002,YU020604
020YUNI238,020YU001,YU020603
010YKNI046,010YK024,YK010632
020YUNI124,020YU002,YU020604
020YUNI252,020YU002,YU020604
020YUNI221,020YU002,YU020604
020YUNI133,020YU006,YU020611
020YUNI256,020YU002,YU020604
020YUNI265,020YU001,YU020603
020YUNI156,020YU006,YU020611
014OLNI031,014OL001,OL014602
008YKNI091,008YK046,YK008646
012Y3NI181,012Y3002,Y3012603
000IABW052,000IA045,IA000018
000IABW123,000IA259,IA000121
000IABW032,000IA033,IA000013
020YUNI201,020YU002,YU020604
0008WNV501,0008WA401,8W000A01
020YUNI289,020YU006,YU020611
012Y3NI131,012Y3001,Y3012604
010YKNI052,010YK031,YK010634
020YUNI295,020YU002,YU020604
020YUNI244,020YU002,YU020604
008YKNI092,008YK046,YK008646
008OKNI081,008OK001,OK008601
020YUNI309,020YU002,YU020604
020YUNI178,020YU002,YU020604
000IABW144,000IA333,IA000158
0282JHQ034,0282J028,2J028035
020YUNI325,020YU002,YU020604
016OFNI045,016OF001,OF016604
000IABW094,000IA193,IA000090
008OKNI077,008OK001,OK008601
020YUNI339,020YU006,YU020611
020YUNI341,020YU002,YU020604
012Y3NI188,012Y3001,Y3012604
020YUNI117,020YU001,YU020603
345XTNV066,345XT046,XT345068
020YUNI276,020YU002,YU020604
012Y3NI164,012Y3002,Y3012603
008YQCME22ENG,008YQ132,YQ008166
000IACM233ENG,000IAE22ENG,IA000E14
0008WDAE001,0008WDAE001,8W000A01
0008WLF001,0008WLAS001,8W000A01
0008WSMT001,0008WSMT001,8W000A01
0008WLAS001,0008WLAS001,8W000A01
0008WPRT005,0008WPRT001,8W000A01
0008WDAF001,0008WDAF001,8W000A01
0008WPRT001,0008WPRT001,8W000A01
048MAAS003,048MA324,MA048125
054NRAB004,054NR004,NR054004
008DRAS009,008DR011,DR008015
064MRAW028,064MR026,MR064035
008YMAW020,008YM112,YM008121
024MAAW066,024MA145,MA024153
060MVBU004,060MV003,MV060003
048TGCM099ENG,048TG295,TG048204
020YUNI024,020YU006,YU020009
024MAVG002,024MA161,MA024168
008YDVG005,008YD103,YD008110
000IABW036,000IA031,IA000016
020YUNI075,020YU006,YU020611
020YUNI207,020YU002,YU020604
008YQAW001,008YQ202,YQ008235
020YUNI234,020YU001,YU020603
020YUNI112,020YU006,YU020611
345XTNV086,345XT065,XT345091
008OKNI089,008OK001,OK008601
020YUNI242,020YU001,YU020603
012Y1NI049,012Y1002,Y1012604
012DNUK014,012DN020,DN012025
012Y3NI210,012Y3002,Y3012603
020YUNI297,020YU002,YU020604
020YUNI352,020YU002,YU020604
020YUNI321,020YU001,YU020603
012Y3NI128,012Y3001,Y3012604
096EIYZ001,096EI023,EI096025
000IABW040,000IA085,IA000025
000IABW075,000IA149,IA000065
020YUNI063,020YU001,YU020603
020YUNI202,020YU002,YU020604
020YUNI130,020YU002,YU020604
012Y3NI157,012Y3001,Y3012604
132X2NV209,132X2364,X2132430
0086ANV217,0086A179,6A008248
0086ANV203,0086A167,6A008233
0086ANV215,0086A177,6A008244
020YUNI288,020YU006,YU020611
020YUNI160,020YU006,YU020611
020YUNI204,020YU002,YU020604
345XTNV076,345XT056,XT345078
000IAQR039,000IA298,IA000143
012Y3NI214,012Y3001,Y3012604
014OLNI027,014OL001,OL014602
0086ANV219,0086A181,6A008250
0086ANV209,0086A137,6A008190
085UOST002,085UO002,UO085001
008OKNI048,008OK001,OK008601
153XTNV128,153XT164,XT153217
345XTNV087,345XT066,XT345092
096EFBU003,096EF044,EF096045
000IABW109,000IA313,IA000025
0008WIS007,048XJ013,8W000A01
008OKNI095,008OK001,OK008601
016OFNI036,016OF001,OF016604
008OKNI104,008OK001,OK008601
020YUNI366,020YU006,YU020611
020YUNI370,020YU006,YU020611
012Y3NI130,012Y3002,Y3012603
020YUNI084,020YU006,YU020611
0086ANV224,0086A186,6A008255
0086ANV172,0086A147,6A008205
054TSAB006,054TS017,TS054017
024MAAB028,024MA063,MA024063
008YDAB031,008YD134,YD008155
200N7BU028,200N7040,N7200042
008YZNI035,008YZ006,YZ008604
