ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-13 03:50,,,,,,,R15MSDZ03,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB212,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 21:59,,,,,,,R15MSDX01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB213,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 21:03,,,,,,,R15MSDX03,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB214,UTC3000,RUNNING,R14LWBR02,2200.0,078U9LW012,ALW078C93001A,22-04-14 01:29,22-04-13 04:45,MTI-S,FBGA-78U9,6720.0,,,,R14LWBE03,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-14 01:29,2200
BB215,UTC3000,RUNNING,R14ABTC03,3200.0,162KEAB011,AAB162KE1006A,22-04-13 23:45,22-04-12 16:06,WINBOND,STBGA162B4U,3340.0,,1091A07T21,,R14ABK514,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-13 23:45,3200
BB216,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-13 03:36,,,,,,,R15MSE104,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB217,UTC3000,RUNNING,R14ABTC04,3200.0,162KEAB011,AAB162KE1006A,22-04-14 01:47,22-04-12 18:08,WINBOND,STBGA162B4U,3340.0,,1091A07T21,,R14ABK515,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-14 01:47,3200
BB218,UTC3000,WAIT-SETUP,,,,AAB024XW3013A,,22-04-13 07:15,,,,,,,R15MSE203,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,836.7986,,2200
BB219,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 18:27,,,,,,,R15MSE102,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB220,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 22:16,,,,,,,R15MSDY03,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB221,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 22:20,,,,,,,R15MSDZ05,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB222,UTC3000,RUNNING,R15LWAD01,2200.0,078U9LW012,ALW078C93001A,22-04-14 03:25,22-04-13 06:48,MTI-S,FBGA-78U9,6680.0,,,,R15LWA104,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-14 03:25,2200
BB223,UTC3000,RUNNING,R14ABTC05,3200.0,162KEAB011,AAB162KE1006A,22-04-13 23:18,22-04-12 16:59,WINBOND,STBGA162B4U,3200.0,04/13/2022 MP,1091A07T21,,R14ABK711,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-13 23:18,3200
BB224,UTC3000,SETUP,R15LWA103,2200.0,078U9LW013,ALW078C93001A,22-04-13 08:23,22-04-13 07:53,MTI-S,FBGA-78U9,6720.0,04/14/2022 MP,1091A06C21,,R14LWBE01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-13 10:28,2200
BB225,UTC3000,RUNNING,R14ABK715,3200.0,162KEAB011,AAB162KE1006A,22-04-13 13:42,22-04-12 07:23,WINBOND,STBGA162B4U,3200.0,04/15/2022 MP,1091A07T21,,R14ABTB02,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-04-13 13:42,3200
BB226,UTC3000,RUNNING,R15MSDZ04,2200.0,096EFMS006,AMS096EF2001A,22-04-13 06:01,22-04-12 06:12,MTI,FBGA-96UEF,4840.0,04/16/2022 MP,1091A06T21,,R15MSCS01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,22-04-13 06:01,2200
BB227,UTC3000,IDLE,,,,AMS096EF2001A,,22-04-12 22:14,,,,04/17/2022 MP,,,R15MSDX04,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,203.2268,,2200
BB228,UTC3000,RUNNING,R14LWB302,2200.0,078U9LW012,ALW078C93001A,22-04-13 02:45,22-04-12 06:01,MTI-S,FBGA-78U9,6720.0,04/18/2022 MP,,,R14LWAZ02,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-13 02:45,2200
