customer,entity,pass
others,BB211,Y
others,BB212,Y
others,BB213,Y
others,BB214,Y
others,BB215,Y
others,BB216,Y
others,BB217,Y
others,BB218,Y
others,BB219,Y
others,BB220,Y
others,BB221,Y
others,BB222,Y
others,BB223,Y
others,BB224,Y
others,BB225,Y
others,BB226,N
others,BB227,Y
others,BB228,Y
others,BB229,Y
others,BB230,Y
others,BB231,Y
others,BB232,Y
others,BB233,Y
others,BB234,Y
others,BB235,Y
others,BB441,Y
others,BB442,Y
others,BB443,N
others,BB444,N
others,BB445,Y
others,BB446,Y
others,BB447,Y
others,BB448,Y
others,BB449,Y
others,BB450,N
others,BB451,Y
others,BB452,Y
others,BB453,Y
others,BB454,Y
others,BB455,Y
others,BB456,Y
others,BB457,Y
others,BB458,Y
others,BB459,Y
others,BB460,Y
others,BB461,Y
others,BB462,N
others,BB463,Y
others,BB465,Y
others,BB466,Y
others,BB467,Y
others,BB468,Y
others,BB469,Y
others,BB470,Y
others,BB471,Y
others,BB472,N
others,BB473,Y
others,BB474,Y
others,BB475,Y
others,BB476,Y
others,BB477,N
others,BB478,Y
others,BB479,Y
others,BB480,Y
others,BB481,Y
others,BB482,Y
others,BB483,Y
others,BB484,N
others,BB485,Y
others,BB486,Y
others,BB487,Y
others,BB488,Y
others,BB489,N
others,BB490,Y
others,BB496,N
others,BB497,N
others,BB498,Y
others,BB499,Y
others,BB500,N
others,BB501,Y
others,BB502,Y
others,BB503,N
others,BB504,Y
others,BB505,Y
others,BB506,Y
others,BB507,Y
others,BB508,Y
others,BB509,Y
others,BB510,Y
others,BB511,Y
others,BB512,Y
others,BB513,Y
others,BB514,Y
others,BB515,Y
others,BB516,Y
others,BB517,N
others,BB518,Y
others,BB519,Y
others,BB520,N
others,BB521,N
others,BB522,Y
others,BB523,Y
others,BB524,Y
others,BB525,Y
others,BB526,Y
others,BB527,Y
others,BB528,Y
others,BB529,Y
others,BB530,N
others,BB531,Y
others,BB532,Y
others,BB533,Y
others,BB534,N
others,BB535,Y
others,BB536,Y
others,BB537,Y
others,BB538,Y
others,BB539,N
others,BB540,Y
others,BB541,N
others,BB542,Y
others,BB543,Y
others,BB544,Y
others,BB545,Y
others,BB546,N
others,BB547,Y
others,BB548,Y
others,BB549,N
others,BB550,Y
others,BB551,Y
others,BB552,Y
others,BB553,Y
others,BB554,Y
others,BB555,N
others,BB556,N
others,BB557,N
others,BB558,Y
others,BB559,Y
others,BB560,Y
others,BB561,Y
others,BB562,Y
others,BB563,Y
others,BB564,Y
others,BB565,Y
others,BB566,Y
others,BB567,Y
others,BB568,Y
others,BB569,Y
others,BB570,N
others,BB571,N
others,BB572,Y
others,BB573,Y
others,BB574,Y
others,BB575,Y
others,BB576,Y
others,BB577,Y
others,BB578,Y
others,BB579,Y
others,BB580,Y
others,BB581,Y
others,BB582,Y
others,BB583,Y
others,BB584,N
others,BB585,Y
others,BB586,Y
others,BB587,Y
others,BB588,Y
others,BB589,Y
others,BB590,Y
others,BB591,N
others,BB592,Y
others,BB593,Y
others,BB594,Y
others,BB595,Y
others,BB596,Y
others,BB597,Y
others,BB598,N
others,BB599,Y
others,BB600,Y
others,BB601,Y
others,BB602,Y
others,BB603,N
others,BB604,N
others,BB605,Y
others,BB606,Y
others,BB607,Y
others,BB608,Y
others,BB609,Y
others,BB610,Y
others,BB611,Y
others,BB612,Y
others,BB613,Y
others,BB614,Y
others,BB615,N
others,BB616,Y
others,BB617,Y
others,BB618,Y
others,BB619,Y
others,BB620,Y
others,BB621,Y
others,BB622,Y
others,BB623,Y
others,BB624,Y
others,BB701,Y
others,BB702,N
others,BB703,N
others,BB704,N
others,BB705,Y
others,BB706,Y
others,BB707,Y
others,BB708,Y
others,BB709,Y
others,BB710,Y
others,BB711,Y
others,BB712,Y
others,BB713,Y
others,BB714,Y
others,BB715,Y
others,BB716,Y
others,BB717,Y
others,BB718,Y
others,BB719,Y
others,BB720,Y
others,BB721,Y
others,BB722,Y
others,BB723,Y
others,BB724,Y
others,BB725,Y
others,BB726,N
others,BB727,Y
others,BB728,Y
others,BB729,N
others,BB730,Y
others,BB731,N
others,BB732,Y
others,BB733,Y
others,BB734,Y
others,BB735,Y
others,BB736,Y
others,BB737,Y
others,BB738,Y
others,BB745,N
others,BB746,Y
others,BB747,Y
others,BB748,Y
others,BB749,Y
others,BB750,N
others,BB751,Y
others,BB752,Y
others,BB753,Y
others,BB754,Y
others,BB755,Y
others,BB756,Y
others,BB757,Y
others,BB758,Y
others,BB759,Y
others,BB760,Y
others,BB761,Y
others,BB762,Y
others,BB763,Y
others,BB764,N
others,BB765,Y
others,BB766,Y
others,BB767,Y
others,BB768,Y
others,BB769,Y
others,BB770,Y
others,BB771,Y
others,BB772,Y
others,BB773,Y
others,BB774,Y
others,BB775,Y
others,BB776,Y
others,BB777,Y
others,BB778,Y
others,BB779,Y
others,BB780,Y
others,BB781,Y
others,BB782,Y
others,BB783,Y
others,BB784,Y
others,BB785,Y
others,BB786,Y
others,BB787,Y
others,BB788,Y
others,BB789,Y
others,BB790,Y
others,BB791,Y
others,BB801,Y
others,BB802,Y
others,BB803,Y
others,BB804,Y
others,BB805,Y
others,BB806,Y
others,BB807,Y
others,BB808,Y
others,BB809,Y
others,BB810,Y
others,BB811,Y
others,BB812,Y
others,BB813,Y
others,BB814,N
others,BB815,Y
others,BB816,Y
others,BB817,Y
others,BB818,Y
others,BB819,N
others,BB821,Y
others,BB822,Y
others,BB823,Y
others,BB824,Y
others,BB825,Y
others,BB826,Y
others,BB827,Y
others,BB828,Y
others,BB831,Y
others,BB832,Y
others,BB833,Y
others,BB834,Y
others,BB835,Y
others,BB836,Y
others,BB837,Y
others,BB838,Y
others,BB839,Y
others,BB840,Y
others,BB841,Y
others,BB842,Y
others,BB843,Y
others,BB844,Y
others,BB845,Y
others,BB846,Y
others,BB847,Y
others,BB848,Y
others,BB849,Y
others,BB850,Y
others,BB851,Y
others,BB852,Y
others,BB853,Y
others,BB854,Y
others,BB855,Y
others,BB856,Y
others,BB857,Y
others,BB858,Y
others,BB859,Y
others,BB860,Y
others,BB861,Y
others,BB862,Y
others,BB863,Y
others,BB864,Y
others,BB865,Y
others,BB866,Y
others,BB867,Y
others,BB868,Y
others,BB869,Y
others,BB870,Y
others,BB871,Y
others,BB872,N
others,BB873,Y
others,BB874,Y
others,BB875,Y
others,BB876,Y
others,BB877,Y
others,BB878,Y
others,BB879,N
others,BB880,Y
others,BB881,Y
others,BB882,Y
others,BB883,Y
others,BB884,Y
others,BB885,Y
others,BB886,Y
others,BB887,Y
others,BB888,Y
others,BB889,Y
others,BB890,Y
others,BB891,Y
others,BB892,Y
others,BB893,Y
others,BB894,Y
others,BB895,Y
others,BB896,Y
others,BB897,N
others,BB898,Y
others,BB899,Y
others,BB900,Y
others,BB901,Y
others,BB902,Y
others,BB903,Y
others,BB904,Y
others,BB905,Y
others,BB906,Y
others,BB907,Y
others,BB908,Y
others,BB909,Y
others,BB910,Y
others,BB911,Y
others,BB912,Y
others,BB913,N
others,BB914,Y
others,BB915,Y
others,BB916,Y
others,BB917,Y
others,BB918,N
others,BB919,Y
others,BB920,N
others,BB921,Y
others,BB922,Y
others,BB923,Y
others,BB924,Y
others,BB925,Y
others,BB926,Y
others,BB929,Y
others,BB930,Y
others,BB931,Y
others,BB932,Y
others,BB933,Y
others,BB938,Y
others,BBA01,Y
others,BBA02,Y
others,BBA03,Y
others,BBA04,Y
others,BBA05,Y
others,BBA06,N
others,BBA07,Y
others,BBA08,Y
others,BBA09,Y
others,BBA10,Y
others,BBA11,Y
others,BBA12,N
others,BBA13,Y
others,BBA14,N
others,BBA15,Y
others,BBA16,Y
others,BBA17,Y
others,BBA18,Y
others,BBA19,Y
others,BBA20,N
others,BBA22,N
others,BBA23,Y
others,BBA24,Y
others,BBA25,N
others,BBA26,N
others,BBA27,N
others,BBA28,N
others,BBA29,Y
others,BBA30,N
others,BBA31,Y
others,BBB01,Y
others,BBB02,Y
others,BBB03,Y
others,BBB04,Y
others,BBB05,Y
others,BBB06,Y
others,BBB07,Y
others,BBB08,Y
others,BBB09,Y
others,BBB10,Y
others,BBB11,N
others,BBB12,Y
others,BBB13,Y
others,BBB14,Y
others,BBB15,Y
others,BBB16,Y
others,BBB17,Y
others,BBB18,Y
others,BBB19,Y
others,BBB20,Y
others,BBB21,Y
others,BBB22,Y
others,BBB23,Y
others,BBB24,Y
others,BBB25,Y
others,BBB26,Y
others,BBB27,Y
others,BBB28,Y
others,BBB29,N
others,BBB30,Y
others,BBB31,Y
others,BBB32,N
others,BBB33,Y
others,BBB34,Y
others,BBB35,Y
others,BBB36,Y
others,BBC01,Y
others,BBC02,Y
others,BBC03,Y
others,BBC04,Y
others,BBC05,Y
others,BBC06,Y
others,BBC07,Y
others,BBC08,Y
others,BBC09,Y
others,BBC10,N
others,BBC11,Y
others,BBC12,Y
others,BBC13,Y
others,BBC14,Y
others,BBC15,Y
others,BBC16,Y
others,BBC17,Y
others,BBC18,Y
others,BBC19,Y
others,BBC20,Y
others,BBC21,Y
others,BBC22,Y
others,BBC23,Y
others,BBC24,Y
others,BBC25,Y
others,BBC26,Y
others,BBC27,Y
others,BBC28,Y
others,BBC29,Y
others,BBC30,Y
others,BBC31,Y
others,BBC32,Y
others,BBC33,Y
others,BBC34,N
others,BBC35,Y
others,BBC36,N
others,BBC37,Y
others,BBC38,Y
others,BBC39,Y
others,BBC40,Y
others,BBC41,Y
others,BBC42,Y
others,BBC43,Y
others,BBC44,Y
others,BBC45,Y
others,BBC46,Y
others,BBC47,Y
