wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA139,2000,1,IQC
BGA139,2003,2,TPM
BGA139,2005,3,TAPING
BGA139,2010,4,LAPPING
BGA139,2020,5,A21 QUEUE
BGA139,2030,6,W/M
BGA139,2040,7,D/S
BGA139,2050,8,A31
BGA139,2060,9,2IP
BGA139,2061,10,UV
BGA139,2070,11,D/A
BGA139,2080,12,D/A CURE
BGA139,2150,13,PLASMA
BGA139,2090,14,POST D/A Q
BGA139,2200,15,W/B
BGA139,2209,16,BMP
BGA139,2210,17,3IP
BGA139,2250,18,PLASMA
BGA139,2230,19,M/D QUEUE
BGA139,2300,20,M/D
BGA139,2320,21,T/M
BGA139,2330,22,PMC
BGA139,2405,23,PLASMA
BGA139,2418,24,WTC
BGA139,2410,25,S/P
BGA139,2430,26,F/S
BGA139,2435,27,P/P
BGA139,2440,28,O/S
BGA139,2450,29,L/S
BGA139,2460,30,F/V
BGA139,2470,31,4IP
BGA139,2480,32,PACK
BGA139,2490,33,SHIP
BGA140,2000,1,IQC
BGA140,2003,2,TPM
BGA140,2005,3,TAPING
BGA140,2010,4,LAPPING
BGA140,2020,5,A21 QUEUE
BGA140,2030,6,W/M
BGA140,2040,7,D/S
BGA140,2050,8,A31
BGA140,2060,9,2IP
BGA140,2061,10,UV
BGA140,2070,11,D/A
BGA140,2080,12,D/A CURE
BGA140,2150,13,PLASMA
BGA140,2090,14,POST D/A Q
BGA140,2200,15,W/B
BGA140,2210,16,3IP
BGA140,2250,17,PLASMA
BGA140,2230,18,M/D QUEUE
BGA140,2300,19,M/D
BGA140,2320,20,T/M
BGA140,2330,21,PMC
BGA140,2405,22,PLASMA
BGA140,2418,23,WTC
BGA140,2410,24,S/P
BGA140,2430,25,F/S
BGA140,2440,26,O/S
BGA140,2450,27,L/S
BGA140,2460,28,F/V
BGA140,2470,29,4IP
BGA140,2480,30,PACK
BGA140,2490,31,SHIP
BGA145,2000,1,IQC
BGA145,2003,2,TPM
BGA145,2005,3,TAPING
BGA145,2010,4,LAPPING
BGA145,2020,5,A21 QUEUE
BGA145,2030,6,W/M
BGA145,2040,7,D/S
BGA145,2050,8,A31
BGA145,2060,9,2IP
BGA145,2070,10,D/A
BGA145,2080,11,D/A CURE
BGA145,2150,12,PLASMA
BGA145,2090,13,POST D/A Q
BGA145,2200,14,W/B
BGA145,2209,15,BMP
BGA145,2210,16,3IP
BGA145,2250,17,PLASMA
BGA145,2230,18,M/D QUEUE
BGA145,2300,19,M/D
BGA145,2320,20,T/M
BGA145,2330,21,PMC
BGA145,2405,22,PLASMA
BGA145,2418,23,WTC
BGA145,2410,24,S/P
BGA145,2430,25,F/S
BGA145,2435,26,P/P
BGA145,2440,27,O/S
BGA145,2450,28,L/S
BGA145,2460,29,F/V
BGA145,2470,30,4IP
BGA145,2480,31,PACK
BGA145,2490,32,SHIP
BGA161,2000,1,IQC
BGA161,2003,2,TPM
BGA161,2005,3,TAPING
BGA161,2010,4,LAPPING
BGA161,2020,5,A21 QUEUE
BGA161,2030,6,W/M
BGA161,2040,7,D/S
BGA161,2050,8,A31
BGA161,2060,9,2IP
BGA161,2070,10,D/A
BGA161,2080,11,D/A CURE
BGA161,2150,12,PLASMA
BGA161,2090,13,POST D/A Q
BGA161,2200,14,W/B
BGA161,2209,15,BMP
BGA161,2210,16,3IP
BGA161,2250,17,PLASMA
BGA161,2230,18,M/D QUEUE
BGA161,2300,19,M/D
BGA161,2320,20,T/M
BGA161,2330,21,PMC
BGA161,2405,22,PLASMA
BGA161,2418,23,WTC
BGA161,2410,24,S/P
BGA161,2430,25,F/S
BGA161,2435,26,P/P
BGA161,2440,27,O/S
BGA161,2450,28,L/S
BGA161,2460,29,F/V
BGA161,2470,30,4IP
BGA161,2480,31,PACK
BGA161,2490,32,SHIP
BGA185,2000,1,IQC
BGA185,2003,2,TPM
BGA185,2005,3,TAPING
BGA185,2010,4,LAPPING
BGA185,2020,5,A21 QUEUE
BGA185,2030,6,W/M
BGA185,2040,7,D/S
BGA185,2050,8,A31
BGA185,2060,9,2IP
BGA185,2061,10,UV
BGA185,2070,11,D/A
BGA185,2080,12,D/A CURE
BGA185,2150,13,PLASMA
BGA185,2090,14,POST D/A Q
BGA185,2200,15,W/B
BGA185,2210,16,3IP
BGA185,2250,17,PLASMA
BGA185,2230,18,M/D QUEUE
BGA185,2300,19,M/D
BGA185,2320,20,T/M
BGA185,2330,21,PMC
BGA185,2405,22,PLASMA
BGA185,2418,23,WTC
BGA185,2410,24,S/P
BGA185,2430,25,F/S
BGA185,2440,26,O/S
BGA185,2450,27,L/S
BGA185,2460,28,F/V
BGA185,2470,29,4IP
BGA185,2480,30,PACK
BGA185,2490,31,SHIP
BGA192,2000,1,IQC
BGA192,2003,2,TPM
BGA192,2005,3,TAPING
BGA192,2010,4,LAPPING
BGA192,2020,5,A21 QUEUE
BGA192,2030,6,W/M
BGA192,2040,7,D/S
BGA192,2050,8,A31
BGA192,2060,9,2IP
BGA192,2070,10,D/A
BGA192,2080,11,D/A CURE
BGA192,2150,12,PLASMA
BGA192,2090,13,POST D/A Q
BGA192,2200,14,W/B
BGA192,2209,15,BMP
BGA192,2210,16,3IP
BGA192,2250,17,PLASMA
BGA192,2230,18,M/D QUEUE
BGA192,2300,19,M/D
BGA192,2320,20,T/M
BGA192,6000,21,WTC2
BGA192,2330,22,PMC
BGA192,2405,23,PLASMA
BGA192,2418,24,WTC
BGA192,2410,25,S/P
BGA192,2430,26,F/S
BGA192,2435,27,P/P
BGA192,2440,28,O/S
BGA192,2450,29,L/S
BGA192,2460,30,F/V
BGA192,2470,31,4IP
BGA192,2480,32,PACK
BGA192,2490,33,SHIP
BGA202,2000,1,IQC
BGA202,2003,2,TPM
BGA202,2005,3,TAPING
BGA202,2010,4,LAPPING
BGA202,2020,5,A21 QUEUE
BGA202,2030,6,W/M
BGA202,2040,7,D/S
BGA202,2050,8,A31
BGA202,2060,9,2IP
BGA202,2070,10,D/A
BGA202,2080,11,D/A CURE
BGA202,2150,12,PLASMA
BGA202,2090,13,POST D/A Q
BGA202,2200,14,W/B
BGA202,2205,15,A41
BGA202,2210,16,3IP
BGA202,2250,17,PLASMA
BGA202,2230,18,M/D QUEUE
BGA202,2300,19,M/D
BGA202,2320,20,T/M
BGA202,6000,21,WTC2
BGA202,2330,22,PMC
BGA202,2405,23,PLASMA
BGA202,2418,24,WTC
BGA202,2410,25,S/P
BGA202,2430,26,F/S
BGA202,2435,27,P/P
BGA202,2440,28,O/S
BGA202,2450,29,L/S
BGA202,2460,30,F/V
BGA202,2470,31,4IP
BGA202,2480,32,PACK
BGA202,2490,33,SHIP
BGA206,2000,1,IQC
BGA206,2058,2,RWTC
BGA206,2050,3,A31
BGA206,2060,4,2IP
BGA206,2070,5,D/A
BGA206,2080,6,D/A CURE
BGA206,2150,7,PLASMA
BGA206,2090,8,POST D/A Q
BGA206,2200,9,W/B
BGA206,2210,10,3IP
BGA206,2250,11,PLASMA
BGA206,2230,12,M/D QUEUE
BGA206,2300,13,M/D
BGA206,2320,14,T/M
BGA206,6000,15,WTC2
BGA206,2330,16,PMC
BGA206,2405,17,PLASMA
BGA206,2410,18,S/P
BGA206,2430,19,F/S
BGA206,2440,20,O/S
BGA206,2450,21,L/S
BGA206,2460,22,F/V
BGA206,2470,23,4IP
BGA206,2480,24,PACK
BGA206,2490,25,SHIP
BGA222,2000,1,IQC
BGA222,2003,2,TPM
BGA222,2005,3,TAPING
BGA222,2010,4,LAPPING
BGA222,2020,5,A21 QUEUE
BGA222,2030,6,W/M
BGA222,2040,7,D/S
BGA222,2050,8,A31
BGA222,2060,9,2IP
BGA222,2061,10,UV
BGA222,2070,11,D/A
BGA222,2080,12,D/A CURE
BGA222,2150,13,PLASMA
BGA222,2090,14,POST D/A Q
BGA222,2200,15,W/B
BGA222,2210,16,3IP
BGA222,2250,17,PLASMA
BGA222,2230,18,M/D QUEUE
BGA222,2300,19,M/D
BGA222,6000,20,WTC2
BGA222,2330,21,PMC
BGA222,2320,22,T/M
BGA222,2405,23,PLASMA
BGA222,2418,24,WTC
BGA222,2410,25,S/P
BGA222,2430,26,F/S
BGA222,2440,27,O/S
BGA222,2450,28,L/S
BGA222,2460,29,F/V
BGA222,2470,30,4IP
BGA222,2480,31,PACK
BGA222,2490,32,SHIP
BGA23,2000,1,IQC
BGA23,2003,2,TPM
BGA23,2005,3,TAPING
BGA23,2010,4,LAPPING
BGA23,2020,5,A21 QUEUE
BGA23,2030,6,W/M
BGA23,2040,7,D/S
BGA23,2050,8,A31
BGA23,2060,9,2IP
BGA23,2070,10,D/A
BGA23,2150,11,PLASMA
BGA23,2090,12,POST D/A Q
BGA23,2200,13,W/B
BGA23,2210,14,3IP
BGA23,2230,15,M/D QUEUE
BGA23,2250,16,PLASMA
BGA23,2300,17,M/D
BGA23,2320,18,T/M
BGA23,6000,19,WTC2
BGA23,2330,20,PMC
BGA23,2405,21,PLASMA
BGA23,2410,22,S/P
BGA23,2430,23,F/S
BGA23,2435,24,P/P
BGA23,2440,25,O/S
BGA23,2450,26,L/S
BGA23,2460,27,F/V
BGA23,2470,28,4IP
BGA23,2480,29,PACK
BGA23,2490,30,SHIP
BGA239,2000,1,IQC
BGA239,2003,2,TPM
BGA239,2005,3,TAPING
BGA239,2010,4,LAPPING
BGA239,2020,5,A21 QUEUE
BGA239,2030,6,W/M
BGA239,2040,7,D/S
BGA239,2050,8,A31
BGA239,2060,9,2IP
BGA239,2061,10,UV
BGA239,2070,11,D/A
BGA239,2080,12,D/A CURE
BGA239,2150,13,PLASMA
BGA239,2090,14,POST D/A Q
BGA239,2200,15,W/B
BGA239,2209,16,BMP
BGA239,2210,17,3IP
BGA239,2250,18,PLASMA
BGA239,2230,19,M/D QUEUE
BGA239,2300,20,M/D
BGA239,2320,21,T/M
BGA239,6000,22,WTC2
BGA239,2330,23,PMC
BGA239,2405,24,PLASMA
BGA239,2418,25,WTC
BGA239,2410,26,S/P
BGA239,2430,27,F/S
BGA239,2435,28,P/P
BGA239,2440,29,O/S
BGA239,2450,30,L/S
BGA239,2460,31,F/V
BGA239,2470,32,4IP
BGA239,2480,33,PACK
BGA239,2490,34,SHIP
BGA248,2000,1,IQC
BGA248,2003,2,TPM
BGA248,2005,3,TAPING
BGA248,2010,4,LAPPING
BGA248,2020,5,A21 QUEUE
BGA248,2030,6,W/M
BGA248,2040,7,D/S
BGA248,2050,8,A31
