ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R13OKL606,2200,048TVOK056,AOK048TV1029A,22-04-04 08:13,22-04-03 21:37,LAPIS,TSOP1-48A2,2560,,1091A07C41,,R13OKL415,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-04 08:13,2200
BB212,UTC3000,RUNNING,R14CDAW02,2200,096EFCD001,ACD096EF2001B,22-04-04 23:41,22-04-03 22:53,ETRON,FBGA-96UEF,5000,,1091A07T41,,R14CDB101,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-04 23:41,2200
BB213,UTC3000,RUNNING,R14MSBU01,2200,078ENMS009,AMS078EN1001A,22-04-04 18:21,22-04-04 04:23,MTI,FBGA-78UEN,3556,,1091A06T21,,R14MSBL07,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-04 18:21,2200
BB214,UTC3000,RUNNING,R14CDAZ03,2200,096EFCD001,ACD096EF2001B,22-04-04 19:25,22-04-04 00:31,ETRON,FBGA-96UEF,4965,04/04/2022 SP,1091A07T41,,R14CDAH01,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-04 19:25,2200
BB215,UTC3000,RUNNING,R14LWCC01,2200,078U9LW012,ALW078C93001A,22-04-04 00:20,22-04-03 03:49,MTI-S,FBGA-78U9,6654,04/05/2022 SP,,,R14LWCD01,FBGA-78U9,MTI-S,ALW078C93001A,1091A06C21,324.0975,22-04-04 00:20,2200
BB216,UTC3000,RUNNING,R13MSJ503,2200,078ENMS009,AMS078EN1001A,22-04-04 09:56,22-04-03 19:59,MTI,FBGA-78UEN,3548,04/06/2022 SP,1091A06T21,,R13MSIS09,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-04-04 09:56,2200
BB217,UTC3000,RUNNING,R13OKL114,2200,048TVOK056,AOK048TV1029A,22-04-04 08:16,22-04-03 21:39,LAPIS,TSOP1-48A2,2560,04/07/2022 SP,1091A07C41,,R13OKL109,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-04 08:16,2200
BB218,UTC3000,RUNNING,R14CDAZ01,2200,096EFCD001,ACD096EF2001B,22-04-04 07:04,22-04-03 12:11,ETRON,FBGA-96UEF,4961,04/08/2022 SP,1091A07T41,,R14CDAY01,FBGA-96UEF,ETRON,ACD096EF2001B,1091A07T41,262.6932,22-04-04 07:04,2200
BB219,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-04 01:51,,,,04/09/2022 SP,,,R13OKL112,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
BB220,UTC3000,IDLE,,,,AOK048TV1029A,,22-04-04 01:37,,,,04/10/2022 SP,,,R13OKL113,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,,2200
